title,price,paper_price,isbn,rating,page,publisher
رد پای شیطان,28000,47000,9786001822148,4.12,760,انتشارات کتابسرای تندیس
پیدایش,29000,75000,9786002784261,3.29,608,گروه انتشاراتی ققنوس
زنی پشت پنجره,15000,45000,9786009876037,2.9,434,انتشارات البرز
عشق ویرانگر,9000,19500,9786009489602,4.76,327,انتشارات کتیبه پارسی
مزخرفات فارسی,6600,nan,9786002783813,4.48,135,گروه انتشاراتی ققنوس
مرداد دیوانه,14000,nan,9786005639858,3.7,303,گروه انتشاراتی ققنوس
پیراهن‌های همیشه,18000,30000,9786002298799,4.44,339,نشر چشمه
مارک دو پلو,15000,22000,9789648496901,4.38,200,نشر مثلث
شماس شامی,4100,2800,9789643695569,4.4,159,نشر افق
گتسبی بزرگ,7500,15000,9789644530913,4.47,224,انتشارات مجید
قتل راجر آكرويد,8000,20000,9789643635568,4.33,297,هرمس
بیشعوران؛ آینه ای برای خویشتن و دیگران,7500,15000,9786007683286,4.38,184,انتشارات تیسا
خشم و هیاهو,15000,35000,9789644480621,3.89,430,نشر نیلوفر
داستان دو شهر,11000,nan,9789643696689,4.81,698,نشر افق
ترامپ,9000,15000,9786005253177,3.53,216,انتشارات سیته
حرف‌هایی با دخترم درباره‌ی اقتصاد,11000,22000,9786229942611,4.64,176,نشر بان
عرضه,9500,nan,nan,3.87,182,دیجی‌کالا مگ
اعتماد به نفس چیست؟,7000,14000,9789641650706,3.66,316,انتشارات معین
خانه‌ی لهستانی‌ها,12000,20000,9786002297426,4.22,209,نشر چشمه
مدیریت رفتارهای یکهویی,8300,25000,9786009969715,3.73,235,شمعدونی
روزی که زندگی‌کردن آموختم,8000,nan,9786008740001,4.33,272,نشر نون
۵  نقطه‌ قوت خود را بشناسید,7800,15500,9786009970001,4.64,169,انتشارات کتیبه پارسی
کفش‌باز,12950,25900,9789644084492,4,374,نشر هیرمند
زبان بدن (نسخه PDF),10900,18000,9786007022102,4.03,226,انتشارات آوند دانش
اعتراف‌های یک تبلیغاتچی,7800,13000,9786005253511,4.25,125,انتشارات سیته
۱۰۰۱  پرسش پیش از ازدواج,15600,26000,9789646181793,4.23,258,انتشارات صابرین
پرونده بالتیمور,16000,45000,9789644429675,3.6,456,انتشارات البرز
زندگی‌نامه ایلان ماسک,9500,nan,nan,4.57,578,دیجی‌کالا مگ
کنت مونت کریستو,7000,14000,9789643695019,4.43,272,نشر افق
کلیدر,9500,nan,9789648637632,4.47,426,انتشارات فرهنگ معاصر
دختر پرتقالی,9000,13000,9789648944136,4.13,188,انتشارات کتابسرای تندیس
دختری در قطار,7000,20000,9786008211051,3.88,344,انتشارات کتاب کوله‌پشتی
مديريت افراد,13000,24000,9786008237419,4.3,258,انتشارات آموخته
خیابان جیغ ۱,4800,8000,9786002960771,4.16,156,انتشارات پیدایش
با چرا شروع کنید,15000,26000,9786008237648,4.75,276,انتشارات آموخته
در ژرفای آب,5600,25000,9786008740070,3.71,416,نشر نون
چگونه بخواهید؟چگونه برسید؟,9000,20000,9786009518098,3.81,184,انتشارات نگاه نوین
صد سال تنهایی,12500,25000,9789644531064,4.13,456,انتشارات مجید
زنی میان ما,15000,35000,9789644531279,3.92,400,انتشارات مجید
هری پاتر و جام آتش,15000,21000,9645757061,4.67,840,انتشارات کتابسرای تندیس
نقشه‌ی ذهن (نسخه PDF),8350,18500,۹۷۸۶۰۰۸۶۶۸۱۱۴,4.41,444,انتشارات آوند دانش
دختری در قطار,13750,27500,9789644083891,4.13,412,نشر هیرمند
کمال زن بودن,6900,nan,nan,4.05,150,ناشرمولف
آفتاب در حجاب,18200,27000,9643373347,4.78,238,انتشارات کتاب نیستان
روی ماه خداوند را ببوس,6950,13900,9789643055745,4.11,112,ناشر مولف ۲۰۵
مترجم دردها,10500,17500,9649333339,4.2,224,نشر ماهی
هنر همچون درمان,13200,22000,9786002296153,4.1,252,نشر چشمه
گربه‌ای خیابانی به اسم باب,9750,19500,9786009782321,4.05,336,کتاب سده
هفت عادت مردمان مؤثر,13500,27000,9649146687,3.83,348,انتشارات هامون
آيا تو آن گمگشته‌ام هستی؟,12000,24000,9786005462142,4.18,400,نشر معیار اندیشه
مسخ,4000,8000,9644530551,4.31,120,انتشارات مجید
خاطرات,15000,30000,9789644083853,3.39,315,نشر هیرمند
بازگشت,5900,nan,9786220010661,3.97,237,ناشرمولف
قدرت جذبه,9000,18000,9786009971695,3.86,184,نشر هومیس
محدودیت صفر,11000,22000,9786009651993,4.19,327,انتشارات کتیبه پارسی
دختر پنهانم,8000,nan,9786008740018,4,168,نشر نون
خلاصه ۵۰  برتر در زمینه موفقیت,8500,nan,9786005248142,4.27,449,راشین
من او را دوست داشتم,7000,14000,9789643418427,3.96,176,نشر قطره
تمدن و ملالت‌ها‌ی آن,7200,12000,9789647948340,4.13,121,نشر ماهی
سورمه‌سرا,5000,10000,9786009840618,3.74,115,نشر بان
کلیدر,9500,nan,nan,4.39,556,انتشارات فرهنگ معاصر
صبحانه در تیفانی,5100,8500,9789642092758,4.03,144,نشر ماهی
بهار زندگی در زمستان تهران,14400,24000,9789641855705,4.24,272,نشر نی
چهار میثاق,6000,12000,9789647390958,4.22,136,ذهن‌آویز
از به,11900,19000,9789643371135,4.53,170,انتشارات کتاب نیستان
سینوهه,25000,50000,9789641711575,4.13,672,انتشارات اردیبهشت
جهان هولوگرافیک,12000,30000,9789643632656,3.04,446,هرمس
شوهر آهو خانم‌,29000,85000,9789643511104,4,778,انتشارات نگاه
حماسه ویچر,11000,23900,9786008537229,4.29,437,آذرباد
شمشیر سرنوشت,12000,26500,9786008537472,4.77,424,آذرباد
رازهایی درباره‌ی زنان که هر مردی باید آن‌ها را بداند,15900,55900,9645885892,4.29,717,انتشارات نسل نواندیش
پیرزنی که تمام قوانین را زیر پاگذاشت,12000,35000,9786003840249,3.77,480,نشر آموت
خرمگس,8000,30000,9786009412686,4.63,416,انتشارات مجید
سه دختر حوا,20500,41000,9786226202213,1.93,632,انتشارات کتاب مرو
هری پاتر و جام آتش,15000,21000,9789645757050,4.68,414,انتشارات کتابسرای تندیس
فصل شیدایی لیلاها,11900,19000,9789643375928,4.67,182,انتشارات کتاب نیستان
