title,price,paper_price,isbn,rating,page,publisher
گزیده ترانه‌ های شل سیلوراستاین,2000,nan,9789647081108,3.6,100,انتشارات کتاب خورشید
در ستایش تاریکی,6000,8000,978600253639,3.33,158,بنگاه ترجمه و نشر کتاب پارسه
مهندسی کاغذ و پاپ‌آپ (نسخه PDF),6900,15000,9786007022092,4,295,انتشارات آوند دانش
من که حرفی ندارم,10000,16800,9789647081504,4.25,270,انتشارات کتاب خورشید
قطارباز,15000,28000,9786002298782,4.5,275,نشر چشمه
۱۰  قصه‌ی برگزیده از هانس کریستین آندرسن,3300,5500,9643690350,4.5,112,نشر افق
۱۰۰  مسئله و معمای جالب فیزیک و ریاضی (نسخه PDF),3750,7500,۹۷۸۹۶۴۳۵۳۶۶۵۷,4.83,199,انتشارات مدرسه
بریده,7900,15900,9786007683637,4.8,185,انتشارات تیسا
سه تفنگدار,5000,9000,9789640015940,3.57,416,انتشارات امیرکبیر
آموزش فیزیک (۲ ) دوم دبیرستان (نسخه PDF),5000,25000,9786000005290,4.17,247,انتشارات کانون فرهنگی آموزش (قلم‌چی)
فیزیک جدید از مقدماتی تا پیشرفته – المپیاد فیزیک ۴,2000,4000,۹۷۸۹۶۴۰۸۰۹۶۹۳,5,72,انتشارات مدرسه
مجموعه ‌ی اشعار فارسی نیما یوشیج,31000,95000,9789646174023,4,902,انتشارات نگاه
قانون تجارت,8000,nan,9789646153233,4.5,336,مجمع علمی و فرهنگی مجد
سیلاب‌های بهاری,3000,5000,9786006687858,4.25,104,انتشارات کتاب کوله‌پشتی
دختر قبلی,22200,37000,9789644429842,2.78,500,انتشارات البرز
بازی‌های شنیداری,6900,10000,9789643376550,3.4,63,انتشارات کتاب نیستان
انقلاب مشروطه ایران,17900,42000,9786002530998,2.67,650,بنگاه ترجمه و نشر کتاب پارسه
افتاده باش اما نه از دماغ فیل,6000,12000,9786005384772,5,232,انتشارات بهار سبز
روایت بحران هسته‌ای ایران، ناگفته‌های یک دیپلمات,24500,49000,9786007683194,5,685,انتشارات تیسا
ضریح چشم‌های تو,2100,nan,9789643377571,3.4,84,انتشارات کتاب نیستان
آموزش شیمی (۲ ) سال دوم دبیرستان (نسخهPDF),3000,13000,9786000005450,3.83,124,انتشارات کانون فرهنگی آموزش (قلم‌چی)
پانزده روز در پاریس,8200,15000,9789645506481,3.33,76,انتشارات کتاب‌سرا
نادیا,5100,nan,9643691497,4.14,165,نشر افق
شهرزاد,5200,9500,9789645506009,3.4,158,انتشارات کتاب‌سرا
آموزش ریاضی (۳ ) سوم دبیرستان (نسخه PDF),6000,23000,9786000006228,4.6,180,انتشارات کانون فرهنگی آموزش (قلم‌چی)
قانون مجازات اسلامی,7000,nan,9786001931130,3,256,مجمع علمی و فرهنگی مجد
با او برو,15000,25000,9789644429873,2.4,352,انتشارات البرز
گفتگو با دخترم دربارۀ فلسفه,4500,6000,9789647694544,3.43,96,گروه انتشاراتی ققنوس
فوکو و ادبیات داستانی,11000,22000,9786009840687,4.75,272,نشر بان
مجله ماهنامه اندیشه پویا - شماره ۵۴,12000,17000,nan,3.86,148,اندیشه پویا
این خانه مال من است!,8000,22400,9786007642733,4.25,472,انتشارات کتاب کوله‌پشتی
مجموعه ۶  ارنست همینگوی,24900,75500,nan,3.67,0,فیدیبو
دژ فراموشی,22000,30000,9786001821165,4,736,انتشارات کتابسرای تندیس
شش عدد,14400,24000,9789643129842,3,241,نشر نی
بازاریابی با هک رشد,3500,7000,9786008237600,4.83,76,انتشارات آموخته
عشق اول و دو داستان دیگر,12000,nan,9786001050602,4.8,278,انتشارات فرهنگ معاصر
تصادف شبانه,5400,9000,9789643627324,2.67,117,نشر چشمه
طلسم,12500,24000,9786001195167,3,584,نشر قطره
كجا گمم كردم,5500,9000,9786226209021,4.83,96,گروه انتشاراتی ققنوس
این شما را می‌خواباند,7800,13000,9789644429862,3.14,176,انتشارات البرز
استنفورد ٩۳  ... ایمانوٸل کانت,5500,nan,9786002783905,4.5,131,گروه انتشاراتی ققنوس
جاناتان استرنج و آقای نورل,40000,70000,9786001821523,3.75,1280,انتشارات کتابسرای تندیس
بهشت گمشده,43000,nan,9786008817161,5,546,نشر تیر
تا در محله گم نشوی,5100,8500,9786002294593,3.71,119,نشر چشمه
آخر بازی، در انتظار گودو,7500,12000,9789643113711,4.83,215,گروه انتشاراتی ققنوس
هوای تازه,10000,20000,9786003360044,4.33,288,انتشارات درسا
شاهزاده و گدا,3800,7000,9789640018040,5,254,انتشارات امیرکبیر
یوگا درمانی,7000,15000,9786003360136,4.33,253,انتشارات درسا
هفته‌ای یه بار آدمو نمی‌کشه و داستان‌های دیگر,6000,10000,9789648573763,4.33,142,انتشارات نیلا
مثل‌ها وقصه‌هایشان,4000,nan,9789643237158,5,144,انتشارات محراب قلم
شاید دیگران از آسمان می‌آید,17000,26000,9789643379308,3.8,33,انتشارات کتاب نیستان
نام باد,10000,17000,9786007132203,4.58,288,انتشارات بهنام
اعترافات یک جنایتکار اقتصادی,20000,40000,9789647514941,4.33,424,نشر اختران
گهواره‌‌ی گربه‌,10200,17000,9789643691615,4.17,406,نشر افق
آموزش فیزیک (۳ ) سوم دبیرستان تجربی (نسخه PDF),7000,22000,9786000006242,3.11,168,انتشارات کانون فرهنگی آموزش (قلم‌چی)
آموزش ریاضی (۲ ) دوم دبیرستان (نسخه PDF),5000,23000,9786000005443,5,220,انتشارات کانون فرهنگی آموزش (قلم‌چی)
و نیچه گریه کرد,19200,32000,9789643126162,3.33,456,نشر نی
روزها و رویاها,13200,22000,9786002299147,5,201,نشر چشمه
دانشنامه استنفورد مجموعه دوم – جلد ۲۶  تا ۵۰,71050,nan,nan,3.38,0,فیدیبو
چگونه شرایط بحرانی را مدیریت کنید؟,5900,10000,9786008913047,4,100,انتشارات نگاه نوین
لولو شب‌ها گریه می‌کند,3800,7500,9786005935615,4.5,180,نشر چکه
راه‌اندازی کسب‌و‌کار شخصی (نسخه PDF),8550,19000,۹۷۸۶۰۰۸۶۶۸۳۸۱,3.86,144,انتشارات آوند دانش
ستاره ‌هايی كه خيلی دور نيستند,2300,nan,9789643374648,4.75,132,انتشارات کتاب نیستان
راز اتاق تاریک,14500,35000,9786001199615,3.5,316,نشر قطره
پنج هفته در بالن,18000,nan,9786000478,5,393,گروه انتشاراتی ققنوس
ریاضی، بازی، یادگیری پایه‌ی ششم دبستان,5000,10000,9789640807972,5,144,انتشارات مدرسه
سلوک اجتماعی,2100,nan,9789643377731,4.75,75,انتشارات کتاب نیستان
در راه مانده,3400,nan,9789643376390,5,24,انتشارات کتاب نیستان
بیابان تاتارها,5000,10000,9643340813,4.67,195,انتشارات روزنه
اقیانوس آلام,1100,2500,9789643375713,4.75,75,انتشارات کتاب نیستان
آشنایی با داروین,1500,3000,9789643074913,3.38,72,نشر و تحقیقات ذکر
آسمان مرز من است,15000,30000,9789646538481,5,525,انتشارات هامون
چرا، چطور، چگونه؟,4500,8500,9789643072216,5,206,نشر و تحقیقات ذکر
انسان در جستجوی معنی غایی,9500,21000,9786005733457,4.4,224,بنگاه ترجمه و نشر کتاب پارسه
آسان بخوانیم,6050,14000,9789643376024,4,43,انتشارات کتاب نیستان
پاهای كثيف,2000,nan,9789647081092,5,79,انتشارات کتاب خورشید
پیمان برادری,12000,32000,9786006225289,5,494,آذرباد
زندگی حسینی,2800,8000,9786006254340,5,164,نشر خیمه
گرگ سفید,18000,29000,9786001820564,4.29,552,انتشارات کتابسرای تندیس
حضرت سکینه (س) اسطوره ادب و عرفان (نسخه PDF),1000,4000,9789643375041,4,69,انتشارات کتاب نیستان
اِوی در سرزمین خون آشام ها,5500,nan,9786001192364,3.75,311,نشر قطره
پرسه در خاک غریبه,8900,13000,9789643375881,3.8,236,انتشارات کتاب نیستان
رساله‌ای درباره طبیعت آدمی,15000,nan,9786002782311,2.67,360,گروه انتشاراتی ققنوس
اکتشافات فضایی,3000,nan,9646982654,5,160,انتشارات کتاب همراه
دعای ندبه,800,1500,9789643377199,4.2,67,انتشارات کتاب نیستان
فرشته‌ها قصه ندارند بانو!,4000,nan,9789643376734,4.2,151,انتشارات کتاب نیستان
زمستان ۶۲,10000,20000,9786005219951,4.29,454,ذهن‌آویز
اوضاع در ارتفاعات کلیمانجارو روبه‌راه است,3600,6000,9786002294814,4.29,79,نشر چشمه
دگرديسی در ضيافت (داستان‌های طنز و سوررئاليستی ),4800,8800,9789647081818,4.2,133,انتشارات کتاب خورشید
گوساله دریایی,5200,10400,9789647081672,4.2,158,انتشارات کتاب خورشید
پسر گمشده,8400,14000,9786007642351,4.75,251,انتشارات کتاب کوله‌پشتی
سکوت‌ دریا,3600,6000,9789642092550,3.25,88,نشر ماهی
دور دنیا در هشتاد روز,17000,nan,9786003910362,3.33,335,گروه انتشاراتی ققنوس
پانوراما ۷ ... سرزمین غریب,4000,nan,9786002783868,5,94,گروه انتشاراتی ققنوس
بازیکن مخفی,14400,24000,9786002297211,5,267,نشر چشمه
گفتن در عین نگفتن,11000,nan,9786002783035,5,239,گروه انتشاراتی ققنوس
آوای نامها از ايران زمين,16000,30000,9645840023,4.75,491,انتشارات کتاب‌سرا
شناخت سینما,2000,nan,9646982514,3.5,87,انتشارات کتاب همراه
پانوراما ۳ ... فلسفه زندگی زناشویی,4000,nan,9786002783462,3.67,96,گروه انتشاراتی ققنوس
فردا مسافرم,9000,16000,9789643379018,4,251,انتشارات کتاب نیستان
رومئو و ژوليت,14000,28000,9789641710882,5,223,انتشارات اردیبهشت
سیری در ادیان جهان,30000,75000,9789643118693,4.33,542,گروه انتشاراتی ققنوس
ایده‌های خیابانی,8000,15900,9786007683774,3.86,192,انتشارات تیسا
جسور باش،ارائه کن,4200,7000,978605253726,3,176,انتشارات سیته
پانوراما ۶ ... آزمایش دکتر اُکس,4000,nan,9786002783691,5,108,گروه انتشاراتی ققنوس
مجموعه ۱۱  جلال آل‌احمد,38080,nan,nan,4.17,0,فیدیبو
بنویس تا اتفاق بیفتد,5500,11000,9789643176686,4.33,256,موسسه خدمات فرهنگی رسا
پانزده سگ,10000,20000,9789644531255,4.5,208,انتشارات مجید
در غرب خبری نیست,6000,11000,9789646205604,4.33,255,انتشارات ناهید
زن پولدار,10000,20000,9789646617865,3.43,352,نشر معیار اندیشه
آتش ‌بازی,16800,28000,9789642091317,4.5,256,نشر ماهی
مجله شهر کتاب- شماره ۷,5000,10000,nan,4.33,,نشریه شهرکتاب
مهارت دقت و توجه – هوش و مهارت‌های کودکان ۱,2000,11000,۹۷۸۶۰۰۹۸۵۲۳۰۷,5,24,کتاب کودکان
نگاهی مدرن به عاشورا,3000,nan,9649335978,4.33,351,نشر ایرا
هفت قانون طلایی کامیابی,3750,7500,9786008124764,4.2,58,انتشارات بهار سبز
هنر کاغذ و  تا – اورگامی (نسخه PDF),7500,15000,9789647114714,3.38,264,انتشارات آوند دانش
یک شب پاییزی,9000,15000,9786006687827,4.75,294,انتشارات کتاب کوله‌پشتی
یک سال زندگی آگاهانه,20000,42500,9789647974943,5,448,کلک آزادگان
راه‌حل جایگزین,5000,nan,9786004610377,2.71,216,انتشارات کتاب کوله‌پشتی
رفوزه‌ها,32000,40000,9789643376086,4.8,434,انتشارات کتاب نیستان
گزیده غزلیات مولوی,5000,nan,978964603490X,3.8,318,انتشارات کتاب همراه
چگونه بهترین بازیگر جهان شوم؟,8500,17000,9786001199745,4.5,202,نشر قطره
معراج,1100,5000,9789643374716,5,72,انتشارات کتاب نیستان
بازی‌های دیداری,5200,7000,9789643376574,4.75,59,انتشارات کتاب نیستان
کرشمه خسروانی، یا، مخاف بیداد به طرز همایون,7100,10000,9789643374709,3.8,174,انتشارات کتاب نیستان
به جان، می‌خوانمت,450,1700,9789643378653,5,39,انتشارات کتاب نیستان
چطور مثل بیل گیتس فکر کنیم,9500,20000,9786001881992,5,256,نشر ایران‌بان
ديروزهای ما,7500,12000,9789647081764,5,342,انتشارات کتاب خورشید
کافه زیر دریا,9000,15000,9789647081450,5,250,انتشارات کتاب خورشید
کلاغ آخر از همه می رسد,8000,15800,9789647081474,5,252,انتشارات کتاب خورشید
دعای افتتاح,1500,nan,9789643375287,3.8,47,انتشارات کتاب نیستان
اولیور تویست,5400,16000,9786006753966,4.83,48,گروه انتشاراتی ققنوس
وداع با اسلحه,8900,33000,9786007987070,4.83,408,انتشارات مجید
قصه‌های بهرنگ,6000,12000,9646895263,4.14,399,نشر نامک
جنگل واژگون,6000,7000,9648573298,4.14,94,انتشارات نیلا
کمدی الهی,55000,nan,nan,4.83,924,نشر تیر
شهر دزدها,16000,32000,9789644084850,4.83,357,نشر هیرمند
کار ریاضی و فارسی دوم دبستان,2800,8500,9786000004194,4,68,انتشارات کانون فرهنگی آموزش (قلم‌چی)
چرا آدم‌های خوب کارهای بد می‌کنند,9500,19000,9786003400634,4.14,288,انتشارات لیوسا
نامه‌های زندان,20000,40000,9789642071401,4.14,554,نشر اختران
ویولن (نسخه PDF),11500,25500,9786007022436,4,416,انتشارات آوند دانش
کاج‌های زرد,5000,10000,9789643293222,3.88,108,نشر بان
تیپ‌های شخصیتی,5000,10000,9789644084751,4.67,115,نشر هیرمند
دموکراسی علیه دولت,12000,nan,9786002783912,3.67,296,گروه انتشاراتی ققنوس
سيدارتها,7800,13000,9789642092338,3.67,176,نشر ماهی
کلود ولگرد,4800,12000,9789643515263,4.29,176,انتشارات نگاه
دنیای علی‌بابا,9000,28000,9786006974361,4.5,300,کتاب کوچه
نوروز نهم  جلد اول,5000,12000,9786000006013,3.75,104,انتشارات کانون فرهنگی آموزش (قلم‌چی)
پندراگن,9000,14000,9789648944624,5,342,انتشارات کتابسرای تندیس
بادبادک‌باز,16000,32000,9786006585444,3.67,400,راه معاصر
الکترونیک برای بچه‌ها (نسخه PDF),24800,55000,9786008668305,3.67,322,انتشارات آوند دانش
چه کسی در دریا مین کاشت؟,4000,6500,9789647081566,4.2,118,انتشارات کتاب خورشید
آموزش مفهومی زیست‌شناسی,1000,3500,9786001264764,3.89,56,انتشارات کانون فرهنگی آموزش (قلم‌چی)
از خیلی خوب به خیلی بد,2000,nan,9789647081139,4.4,77,انتشارات کتاب خورشید
آیا می‌دانید؟,3000,nan,9789646982581,4.6,120,انتشارات کتاب همراه
تنها راه رستگاری,1500,3000,9789643375690,3.67,107,انتشارات کتاب نیستان
هتل استنکلیف,3800,8500,9786002533074,2.33,128,بنگاه ترجمه و نشر کتاب پارسه
زمان و حکایت,24000,40000,9789641855910,5,351,نشر نی
داستان زندگی من,2000,nan,9646034233,4.4,79,انتشارات کتاب همراه
مسئولیت‌پذیری,4500,11000,9789643416683,4.43,82,نشر قطره
حالا نقاط قوت خود را كشف كنيد,7000,13500,9789646617919,4.71,0,نشر معیار اندیشه
دنیای سایه,10700,nan,9786001196430,4.5,239,نشر قطره
زمان زود پير می‌شود,5500,9300,9789647081986,4.6,144,انتشارات کتاب خورشید
تاریخ اندیشۀ سیاسی غرب,30000,50000,9789641855675,3,517,نشر نی
تاریخ با غرغر... ایران چگونه ایران شد؟,3900,6500,9789647694766,3.71,78,گروه انتشاراتی ققنوس
مجموعه ۶  اسرار نیکولاس فلامل جاودان,42000,152000,nan,3.44,0,فیدیبو
روح سگ زوزه می‌کشد,4800,8000,9789643499754,4.25,188,انتشارات پیدایش
پانوراما ۱ ... پدرم,4000,nan,9786002783554,4,72,گروه انتشاراتی ققنوس
حیات ذهن,21000,42000,9786002781550,4.71,624,گروه انتشاراتی ققنوس
مجله دوهفته‌نامه فرهنگی، اجتماعی دانستنیها – شماره ۲۱۵,3000,6000,nan,3.64,116,گروه مجلات همشهری
عاشورا,2000,nan,9646982786,4.5,96,انتشارات کتاب همراه
مجموعه ۱۰  در آغوش نور,78400,224000,nan,4.43,0,فیدیبو
پاسخ‌نامه نوروز دهم تجربی,5000,14000,9786000009120,4.57,88,انتشارات کانون فرهنگی آموزش (قلم‌چی)
نام باد,10000,17000,9786007132227,4.63,380,انتشارات بهنام
ریاضی آسان – جلد پنجم,1300,nan,9789643376017,4.67,65,انتشارات کتاب نیستان
ایستگاه پایانی,10000,20000,9786009874051,3.33,256,انتشارات البرز
آفتاب در مصاف,4200,7000,9789642951499,3.6,722,موسسه پژوهشی انقلاب اسلامی
مجله هفتگی کرگدن شماره ۹۱,4000,10000,nan,4.5,132,نشریه کرگدن
مثل شیشه مثل سفال,24200,33000,9789643379582,4,403,انتشارات کتاب نیستان
حق پناهندگی از نظر شریعت اسلام و حقوق بین‌‌الملل,6600,12000,9789645506283,3,251,انتشارات کتاب‌سرا
اعترافات یک جوان سرخورده امروزی,6000,11000,9786007131022,3.67,160,انتشارات کتاب خورشید
شرقِ غرب,7000,16500,9789643347390,4.75,188,انتشارات روزنه
کلید,16500,30000,9789645506528,3,592,انتشارات کتاب‌سرا
زمان,2000,nan,964603425x,3.67,24,انتشارات کتاب همراه
اقتصاد سیاسی صندوق‌های قرض‌الحسنه و موسسات اعتباری,9000,18000,9786002533401,3,152,بنگاه ترجمه و نشر کتاب پارسه
کار عربی پایه نهم,4000,8000,۹۷۸۹۶۴۰۸۰۹۴۱۹,4.67,148,انتشارات مدرسه
شیر کتاب‌خانه,2300,nan,9789643374457,5,44,انتشارات کتاب نیستان
در پی پیشگویی,15000,28000,9786007132241,4.74,526,انتشارات بهنام
دختران ساکت,18000,49000,9786009876181,1.88,430,انتشارات البرز
روزهای سگی,7800,13000,۹۷۸۹۶۴۳۴۹۹۱۹۸,5,204,انتشارات پیدایش
خفگی,17500,35000,9789644084935,3,338,نشر هیرمند
پی نكته‌‌هايی بر «جامعه‌‌شناسی خودمانی»,9000,18000,9789647514385,3,184,نشر اختران
سنفونی روحانی,10000,15000,9646581595,3.75,160,نشر تیر
چیستی تکامل,28800,48000,9789641852643,5,428,نشر نی
تاکتیک‌ها و تکنیک‌های تبلیغات,7500,12500,9789649627625,4.75,227,انتشارات سیته
جبرئیل و دریا,1100,3900,9789643376055,3.67,68,انتشارات کتاب نیستان
مفتون و فیروزه,12000,nan,9789643376963,3.67,0,انتشارات کتاب نیستان
حرم مطهر رضوی,2000,nan,9646982840,3.67,83,انتشارات کتاب همراه
مجله هفته‌نامه همشهری جوان - شماره ۶۷۵,2500,5000,nan,4.25,68,گروه مجلات همشهری
گفت بگو، می‌گویم,2100,nan,9789643376406,3.67,136,انتشارات کتاب نیستان
مرگ یا بستنی؟,9000,21000,9786001883095,5,300,نشر ایران‌بان
ویلای دلگیر,7200,12000,9789643629922,5,161,نشر چشمه
علی‌بابا خانه‌ای که جک‌ما ساخت,11500,23000,9786008124580,5,380,انتشارات بهار سبز
پس از باران,7200,12000,9789641855606,3.75,144,نشر نی
با هم، همین و بس,27000,45000,9789642092192,5,600,نشر ماهی
زلیخا چشم‌هایش را باز می‌کند,21000,35000,9789644487088,5,490,نشر نیلوفر
همه‌ی همسران اجنه‌ی شیخ‌محمود,4200,7000,9786007642863,3.67,112,انتشارات کتاب کوله‌پشتی
پنج پری نیلوفری,2500,5000,9789643415402,5,82,نشر قطره
چهلچراغ,2500,nan,9786006254197,5,84,نشر خیمه
حکمت ناصریه,3500,7000,9789646082861,3.75,114,نشر تاریخ ایران
دختری که با تبهکارها در افتاد,25500,49000,9786001197314,3,897,نشر قطره
شبح سرگردان,12000,20000,9789644486180,3.75,343,نشر نیلوفر
اره را تیز کنید,7000,14000,978964538368,3,120,انتشارات هامون
بدرود دون‌پایگی,14000,28000,9789645528629,5,176,آموزه
در پرتگاه حادثه، زندگی‌نامه‌ی اکبر اعتماد بنیانگذار سازمان انرژی اتمی ایران,23000,46000,9789642071128,5,530,نشر اختران
شخصیت سالم,4500,8000,9789643417758,5,76,نشر قطره
جامعه‌شناسی هنر,6000,10000,9643291170,3.75,165,آگه
به دنبال داروین,5000,nan,9789643116798,1.5,128,گروه انتشاراتی ققنوس
ماجراهای اسرارآمیز لیدی‌‌گریس,4000,6000,9786001820878,3.17,152,انتشارات کتابسرای تندیس
بهشت گمشده,43000,nan,9646581749,5,317,نشر تیر
بازسازی زندگی پس از طلاق,11400,19000,9789646181915,5,246,انتشارات صابرین
در جستجوی نان,6400,16000,9789643515478,3.75,351,انتشارات نگاه
ترجمه شرح نهج‌البلاغه ابن ابی الحدید معتزلی – جلد ۱۷,8800,25000,9789643377809,3.67,273,انتشارات کتاب نیستان
ترس مرد فرزانه,20000,40000,9786007132296,4.46,574,انتشارات بهنام
قصه‌‌های صمد بهرنگی,8000,17000,9786001191954,5,258,نشر قطره
قلب جوهری,7000,10000,9789645668585,4.15,703,انتشارات بهنام
كانادا,5000,8000,9786002780492,5,127,گروه انتشاراتی ققنوس
این درس است یا بازی؟,2900,4800,9789643372736,3.67,16,انتشارات کتاب نیستان
زیست‌شناسی (۱ ) – سال دوم دبیرستان (نسخه PDF),5600,17000,nan,5,260,انتشارات کانون فرهنگی آموزش (قلم‌چی)
تاریخ با غرغر... این نقشه بزرگ چرا کوچک شد؟,3900,7500,9789647694797,4.33,96,گروه انتشاراتی ققنوس
جادوی شفا,14000,27000,9786008124696,3.4,278,انتشارات بهار سبز
پسر,19200,32000,9786002297013,5,394,نشر چشمه
به انجام رساندن کارها,3500,6000,9786008237082,2.83,88,انتشارات آموخته
مغز یک صفحه نمایش است,3500,7000,9786009640348,4.25,103,نشر بان
مجله فصلنامۀ ترجمان علوم انسانی – شماره هفتم,7500,20000,nan,5,360,ترجمان علوم انسانی
مجله فرهنگی هنری بخارا,11000,20000,nan,4,800,بخارا
نی‌نی، نی‌نی، نازه نی‌نی,4800,nan,9643373800,4,24,انتشارات کتاب نیستان
علوم پیش‌دبستانی ۲,5200,7500,9789643375942,4,53,انتشارات کتاب نیستان
کاساندرای زیبا,3600,8000,9786002533081,3,72,بنگاه ترجمه و نشر کتاب پارسه
تراوشات یک ذهن آشفته,4200,7000,9786007642320,2.4,128,انتشارات کتاب کوله‌پشتی
مجله هفتگی کرگدن شماره ۹۲,4000,10000,nan,4.75,132,نشریه کرگدن
لحظه‌ی تصمیم,6000,12300,9786006958217,4,328,هورمزد
ترس مرد فرزانه,17000,25000,9786007132272,4.43,504,انتشارات بهنام
نبوغ دیوانه,9000,22000,9786009518074,4,70,انتشارات نگاه نوین
دزد آذرخش,7000,19000,9789645668660,4.73,415,انتشارات بهنام
آدمکش,9000,19500,9786007131091,3,254,انتشارات کتاب خورشید
طرز فکر,4500,nan,nan,3.4,270,ناشرمولف
آموزش کامپیوتر برای کودکان,2500,nan,9789643377729,3,50,انتشارات کتاب نیستان
نقش مادر در تربیت کودک,2500,nan,9789647108775,4,63,انتشارات کتاب درمانی
آموزش حساب دیفرانسیل و انتگرال سال چهارم دبیرستان,6000,21000,۹۷۸۶۰۰۰۰۰۵۸۸۷,2.33,232,انتشارات کانون فرهنگی آموزش (قلم‌چی)
چگونه می‌نویسم,7000,13500,9786007131060,4,174,انتشارات کتاب خورشید
بازیگوش,9000,nan,9786005639896,3.5,200,گروه انتشاراتی ققنوس
دروغ سوم,6250,12500,9789641912736,4.41,162,انتشارات مروارید
چلاق آینیشمان,8000,12000,9789646900684,4.5,72,انتشارات نیلا
قلعه مالویل,11000,23000,9789640018729,4.4,616,انتشارات امیرکبیر
میدان نبرد ذهن,6100,nan,9786001190711,2.33,136,نشر قطره
پست‌چی سه بار در نمی‌زند,2900,9500,9789643375249,4.33,150,انتشارات کتاب نیستان
آدمکش,1400,1900,9789647081856,4.33,56,انتشارات کتاب خورشید
ملاحظاتی درباره‌ی مارکس,8100,13500,9786002299604,1.75,142,نشر چشمه
آتش سوزان,9000,nan,9786002783943,3.5,191,گروه انتشاراتی ققنوس
مسافر کربلا,3900,7000,9789643377441,4.33,127,انتشارات کتاب نیستان
مدیریت، فراسوی اعداد,5200,13000,9786008091240,4.5,120,ترجمان علوم انسانی
تحفه آثار,7800,12000,9789643375195,4.33,931,انتشارات کتاب نیستان
درمان اختلال خواندن با بازی – جلد ۱,9900,nan,9789643379131,4.33,103,انتشارات کتاب نیستان
پشت درهای بسته,7000,nan,9786004610063,2.6,264,انتشارات کتاب کوله‌پشتی
دست چپم داره منو می‌کشه,13750,27500,9789643348328,5,196,انتشارات روزنه
تراژدی سگی,4200,7000,9786006687162,4.33,144,انتشارات کتاب کوله‌پشتی
چشمه جاودانگی,7800,13000,9645704898,4.65,493,زهره
مادر ترزا,12500,33500,9786002530561,4.2,415,بنگاه ترجمه و نشر کتاب پارسه
رازهایی درباره مردان,15500,31000,9786009915071,5,320,نشر هومیس
معبد میلیونرها,5000,nan,9789648910780,4.08,135,نشر افکار
مأموريت به ايران,15000,nan,9786002783806,5,221,گروه انتشاراتی ققنوس
گیل گمیش,2000,nan,9786005965346,4.75,0,نشر موغام
زیرمتن در فیلم‌نامه,7200,12000,9786002295194,3.8,133,نشر چشمه
وزارت والاترین سعادت,10000,30000,9786007642641,4.33,472,انتشارات کتاب کوله‌پشتی
مسافری که با ستاره شمال آمد,2700,4500,9644482476,3.8,170,نشر نیلوفر
فیزیک تجربی از مقدماتی تا پیشرفته – المپیاد فیزیک ۵,2000,4000,۹۷۸۹۶۴۰۸۰۹۷۰۹,3.8,72,انتشارات مدرسه
داستان ملال‌انگیز,3600,6000,9789642090051,3.8,112,نشر ماهی
هنری زلزله در جشن تولد,2990,nan,9789643693596,4.75,77,نشر افق
رنسانس- فرقه‌ی اسسین‌ها‌‌,12000,nan,9786006225265,4.35,480,آذرباد
قتل به سبک انگلیسی,18000,44000,9786001883071,4.75,496,نشر ایران‌بان
یاران‌حلقه,19750,39500,9789643341169,4.47,798,انتشارات روزنه
مهمان برای خرس,2500,9000,9786006753317,4.75,56,گروه انتشاراتی ققنوس
مجموعه ۷  ماجراهای خانم شارلوت,9800,nan,nan,4.5,0,فیدیبو
نخستین دایرة‌المعارف مهندسی ژنتیک و DNA‬,4500,nan,9789643074234,4.75,64,نشر و تحقیقات ذکر
بهانه بی بهانه!,9000,20000,9786005462722,4.75,352,نشر معیار اندیشه
فرودگاه بیشعورها,11700,16000,9789643379766,4.67,161,انتشارات کتاب نیستان
آرزوی یک چوپان,2500,nan,964337307x,3.5,27,انتشارات کتاب نیستان
مجله حرفه هنرمند شماره ۶۹,10000,30000,nan,3.67,188,نشریه حرفه هنرمند
ضیافت,1700,4000,9789643377557,4.67,68,انتشارات کتاب نیستان
زندگانی فاطمه زهرا,7500,15000,9789644763175,3.33,296,دفتر نشر فرهنگ اسلامی
آخرین خنیاگر,3500,nan,9789643375034,4.67,297,انتشارات کتاب نیستان
یک چیز به هر حال یک چیز است,6000,nan,9789647081559,4.67,165,انتشارات کتاب خورشید
عناصر شیمیایی,4000,nan,964698259x,4.67,210,انتشارات کتاب همراه
صمیمانه با جوانان وطنم,4100,9500,9789643374372,4.67,72,انتشارات کتاب نیستان
مرگ,2000,5500,9789643373160,4.67,80,انتشارات کتاب نیستان
وقتی او بیاید,2100,nan,964337355X,4.67,24,انتشارات کتاب نیستان
قلبت را روی کاغذ بیاور,11500,23000,9786009651900,4.75,430,انتشارات کتیبه پارسی
خانه‌ی درختی,2400,nan,9789643378431,4.67,25,انتشارات کتاب نیستان
خدا کند تو بیایی,3100,nan,9789646882454,4.67,103,انتشارات کتاب نیستان
قصه‌هایی برای خواب کودکان – مهرماه,3600,6000,9789643493660,4.6,124,انتشارات پیدایش
خاکسپاری ماهی قرمزها,4000,10000,9786008211693,4.67,112,انتشارات کتاب کوله‌پشتی
نمایشنامه نویسی (نسخه PDF),11500,25000,9786007022474,3.8,408,انتشارات آوند دانش
نام باد,10000,17000,9786007132234,4.61,328,انتشارات بهنام
سر برباد رفته داماشنو مونته‌يرو,6000,10000,9789647081597,4.67,208,انتشارات کتاب خورشید
فانوس دریایی,7800,13000,9786007642672,4.67,184,انتشارات کتاب کوله‌پشتی
